,SerialNumber
2924,"issues: 411-0151-7/STS-051111BP3 needs a Monitor 411-0151-4/STS-051010DP2 needs a Monitor 411-0128-12/STS-051111CP2 needs damaged fiber optic cable replaced for SAS TX2 to Monitor RX2. site CyrusOne - West II 5170 Westway Houston, TX "
2925,"removed SNMP to return for credit serial # 180-2061 site: Digital Realty 9333 Grand Ave Franklin Park, IL 60131 "
2926,"STS monitor has lines running thru it. 14400004-3 bad display STS 14400004-6 alarm SAS 3 Fuse A SAS 3 Fuse B SAS 3 Fuse C SAS 3 S1 SAS Board replacement. site CyrusOne 2300 Chelsea Blvd Allen, TX "
2927,"They have 600 tap off boxes with cord problems. We are going to be sending them 120 and then they are going to be sending us 120 back on RMA, swapping until the job is complete. "
2928,Customer received 14 wrong breakers. They received 14 circuit breakers with lugs and they need 14 breakers that are plug in style circuit breakers. 
2929,Issue on PDU A3 COMM 2 COMM 3 COMM 4 COMM 5 
2930,"unit transferred and then transferred back.. site CyrusOne - SAT 1 9999 Westover Hills Blvd San Antonio, TX "
2931,The 2 broken tap boxes have unlock mechanisms that werenít properly working. The installation process and voltage testing were fine. When we took them down they would not properly release. 
2932,Monitor's horn is not working 
2933,Scope: To inspect and repair (1) PDU with display issue; M4 monitor on PDU shows numbers and random characters; 110-2104-2 
2934,"alarm on STS , 442-0002-22B stie Dell 701 Parmer Rd Austin, TX "
2935,"Notes from technician As you may have heard I had an issue at a site here in Brewster Washington yesterday. I was onsite only to start up a standalone sts but the customer requested that I look at another issue. I discussed with Sarah and she said to help them out with an inspection but to inform her if something significant needs to occur. I arrived and found that the STS was online supporting load from source 2. There was a phase rotation alarm on the STS from source 2. The site stated that Kelly Ryan performed the startup in April but at that time they had only pulled the power in (single source) to source 1 and that the two were jumpered together. First think I checked was the voltage drop between the two. The phase indication on the display stated that there as only 2deg between phases but I measured A-A:120vac, B-B:12vac, and C-C:240vac. They are aware there is a phase shift between the two sources and are working to resolve that issue in their power distribution. In the course of inspecting the unit I noted first that there were screws in the bottom of the SCR logic tray. I then inspected the three circuit boards (SAS,Pulse,Gate Drive) and the SAS had two bottom screws missing and the Pulse appeared to have no screws supporting it. I asked the customer to place the unit in Bypass but since they didnít obtain permission they said I could not take the load off 2 source protection. I should have told them that I could not move forward, but I decided to try and inspect the board further. Due to the plugs and ribbon cable I wasnít 100% sure that no screws were supporting the board. I put on 40 cal arc flash top and gloves and tried to pull the board away from the standoffs. The rear of the board made contact with the bottom left standoff and shorted the rear pins to ground. I saw an arc on the left side of the board and looked up at the display. The unit showed shut down with several alarms. I immediately informed the customer (they were right behind me the whole time) and requested to reenergize the load from bypass on source 2. He told me to proceed. The input supply to source 2 had tripped, it was reset and shut. I showed voltage available on S2 and energized the output. The customer then proceeded with their equipment recovery which took about 20 minutes. I called Sarah and John and informed them of the load loss. I also started to inspect the unit further (de-energized the SAS, Pulse, Gate drive) to determine the extent of the damage. The Pulse board was removed and there was obvious damage to the rear from the short. I also found all three phases of the S2 scrs reading on 14 ohms and A phase of S1 also shorted. I do not know the status of the snubber boards. I then proceeded to the STS I was there to startup. Please see attached report for the Incident. The customer is obviously anxious to get repairs done but I told them that we needed to shut the unit down for repair. They stated that would be an issue and could we repair with the unit energized and I told them that would not be advisable. I have received an email from Jason Weidauer JWeidauer@ldpassociates.com already asking for an update on a repair timeline. I told him we would update as soon as possible. I have attached few pics and wish I had gotten more but the situation moved pretty fast once I shorted the board. Eddy also asked for my report as soon as possible so if we could release today, I think that may help move things forward. "
2936,site found bad CT strip during commissioning 
2937,Installation of monitor upgrade to 16 PDU currently stored at A&A Transfer. Units to be brought back to PDI -RIC for upgrade to take place on production floor by Service technicians. Upgrade to take approximately 2 weeks to complete. 
2938,"breaker has failed IR testing on site LGP36400CU31X (CKB54147) site CyrusOne 1649 W Frankford Rd Carrollton, TX 75007 "
2939,"customer would like to return one STS display for a refund, less 25% restocking. site Home Depot 1300 Park Center Drive Austin, TX 78753 "
2940,STS 411-0077 monitor needs to be replaced. 
2941,"PDU 03D-078 and 03H-209 both went into alarm when switched from primary to secondary sources while we were doing breaker testing this weekend. When they attempted to switch back to their primary source they stayed on the secondary source and will not transfer back. On 03H-209 they dropped 2 server cabinets tied to this unit, but no alarms on or from the STS when it happened. site Citigroup 931 Litsey Rd Roanoke, TX "
2942,"CT on strip broke site T-Mobile / T5 6653 Pinecrest Dr Plano, TX 75024 "
2943,"Two units need to have the display replaced. They are fuzzy and hard to read 	 180-2528	19	C4-5 180-2528	15	D4-5 site IBM Cloud (DFW12) c/o Digital Realty 907 Security Row Richardson, TX 75081 "
2944,"No values are shown for Input Current (phases A, B, and C) on PDU screen. Site Address: QTS 300 Satellite Blvd. NW Suwanee, GA 30024 "
2945,"Three units have been identified to have a singed or burnt connector on the data acquisition board. see pic 110-2711-2 PDU-160-A-2 110-2710-2 PDU-160-A-4 110-2710-4 PDU-160-B-4 site Rackspace DFW 2 suite 160 1232 Alma Rd Richardson, TX 75081 "
2946,"SAS D SCR 1 pulse alarm serial # 411-0112 site Ascent 505 N. Railroad Northlake, IL "
2947,"SSM needs 208v, 2P + G. The boxes are wired for 120v, 1P + N + G. The regional sales rep entered the order incorrectly on the financial site SSM Health 7980 Clayton Rd, suite 100 St Louis, MO 63117 "
2948,"What we will be designing is the change of the transformer to accommodate the voltage, change of the unit from bottom entry/exit to bottom entry/top exit, replacement of breakers with 100% rated, and adding additional breakers. We want to have one unit back in house, and run through all of these proposed changes with our Engineering and manufacturing teams and make sure we have covered everything before we move forward with placing orders for the components required. If you see anything Iíve missed here, let me know. If you can let us know a day/time that a PDU could be pulled and ready to ship, we can arrange for a truck to pick it up and bring it to our factory for review. "
2949,STS display and SAS board issues 411-0109-4 411-0109-2 site GPX Mumbai 
2950,ï	DH 40 North Gallery PDU/STS B1-2: Screen will not read/turn on. It worked previously. No sign of visible damage. ï	DH35 West Gallery PDU/STS C1-3: Tripped the source 1 Breaker at the DP Switchboard. Note: These units were turned off for an upgrade. when power was reapplied the monitors did not work. 
2951,DCPS top out board was found to have a burnt connection during the PM 
2952,"adding isolated ground bus to Qty 6 11.5' rails. add isolated ground to endfeeds site Fox Electric Attn: Jef Johnson 1104 Colorado Lane Arlington, TX. 76015 "
2953,"garbled characters on PDU, serial # 110-1829-6 site Best Buy 6201 West 111th st Bloomington, MN 55438 "
2954,(4) 42 Circuit Solid Core- CT strips (2) Left Mounting brackets fully assembled for CTs (2) Right Mounting brackets fully assembled for CTs (4) 5' Ribbon Cables (1) High Voltage Data Acquisition Module NO Display Scope: BCMS StartUp on (32) kits 
2955,"during PM, found display is not working properly. It has power but the LCD is dark site Ford Dearborn, MI "
2956,"misunderstanding between sales and product entry group as to what was called for on the order. 30 Boxes were ordered TNL 13402741 , 13402742 & 130402743 customer needed 42 boxes with a different configuation site Fidelity Papillion, NE "
2957,"STS has a bad contractor board site CyrusOne 7100 Metropolis Austin, TX "
2958,"installing new SAS boards to help correct the SAS TX alarm issue site CyrusOne 229 W. Seventh St Cincinnati, OH 45201 "
2959,"returning floor stands for credit wrong size floor stands site Align Communications Ashburn, VA "
2960,"Two CT strips broke during install site CyrusOne 7100 Metropolis Dr Austin, TX "
2961,"PDU Main breaker on PDU opened site dropped load PDU Main panel A breaker opened site CyrusOne 9999 Westover Hills Blvd San Antonio, TX 78251 "
2962,Junction fuse alarm on unit 
2963,parts sent for upgrade will not work. customer would like to return them. 
2964,One week rental of (32) 225A LB TOBs part 13404610 
2965,BCMS Board is not sending information to the display It keeps giving a comm 1error on the screen. 
2966,"customer believes they have a failed communication card. troubleshoot the issue. 110-2574-3 (PDU 86) site Ford Dearborn, MI "
2967,"The two meters not working are locked on a black screen that wants you to update the software and when you hit cancel it keeps trying to load from an SD card or so it says. site Stream Chaska, MN "
2968,"bad BCMS board found site Digital Realy Ashburn, VA "
2969,"several reported issues from the site: STS-A4A, A6A and A5B ñ HMI Display Replacement STS-B6B ñ Fan Module Replacement site Ascent - Ste 400 505 N Railroad Rd Northlake, IL "
2970,"RPP damaged in shipment. Frame, monitor, and panel damge pictures attached "
